empresa,pais,ventas,beneficios,activos,valor de mercado
Volvo Group,Sweden,36769.0,2098.6,62200.0,52150.0
Dollar General,United States,33747.0,2655.1,28468.0,51858.0
Etisalat,United Arab Emirates,14077.0,2457.4,36214.0,51852.0
Monster Beverage,United States,4599.0,1409.6,6265.0,51847.0
Naver,South Korea,5516.0,849.3,15663.0,51713.0
RELX,United Kingdom,9118.0,1569.6,19336.0,51523.0
Henkel,Germany,21945.0,1605.1,37729.0,51463.0
KLA,United States,6070.0,1367.5,9815.0,51307.0
Denso,Japan,44648.0,-233.6,66136.0,51171.0
Keurig Dr Pepper,United States,11618.0,1325.0,49779.0,50676.0
Longi Green Energy Technology,China,6251.0,1163.4,11977.0,50590.0
Kraft Heinz Company,United States,26184.0,356.0,99830.0,50148.0
Wanhua Chemical Group,China,10541.0,1454.8,20452.0,49843.0
Fortescue Metals Group,Australia,15534.0,6282.9,24473.0,49568.0
ING Group,Netherlands,20106.0,2831.7,1146803.0,49342.0
London Stock Exchange,United Kingdom,3134.0,539.9,1160733.0,49304.0
Canadian Pacific Railway,Canada,5748.0,1822.1,18695.0,49249.0
Sumitomo Mitsui Financial,Japan,38587.0,4935.8,2256817.0,48928.0
Pinterest,United States,1693.0,-128.3,2609.0,48927.0
Ford Motor,United States,127144.0,-1279.0,267261.0,48812.0
Wesfarmers,Australia,22888.0,1292.2,19691.0,48807.0
Anta Sports Products,China,5162.0,752.8,7931.0,48741.0
Itaú Unibanco Holding,Brazil,37248.0,3663.3,389721.0,48539.0
CNOOC,Hong Kong,22519.0,3627.2,110290.0,48440.0
Daiichi Sankyo,Japan,9025.0,661.2,19867.0,48434.0
Marriott International,United States,10593.0,-267.0,24701.0,48389.0
Roku,United States,1778.0,-17.5,2271.0,48353.0
América Móvil,Mexico,47294.0,2179.0,75616.0,48326.0
Dow,United States,38542.0,1216.0,61470.0,48201.0
CrowdStrike,United States,874.0,-92.6,2733.0,48178.0
DoorDash,United States,2886.0,-461.0,6353.0,48056.0
Fanuc,Japan,4655.0,676.2,14982.0,48045.0
Align Technology,United States,2472.0,1775.9,4830.0,47982.0
Bank of Communications,China,67589.0,11144.7,1635771.0,47884.0
Møller-Maersk,Denmark,39649.0,2789.7,56117.0,47836.0
DSV Panalpina,Denmark,17729.0,649.9,15821.0,47716.0
Itochu,Japan,96597.0,4111.4,107761.0,47565.0
Shanghai Pudong Development,China,52256.0,8450.2,1215667.0,47428.0
Kotak Mahindra Bank,India,7453.0,1255.5,65322.0,47063.0
Kimberly-Clark,United States,19140.0,2352.0,17523.0,47057.0
Oriental Land,Japan,1980.0,-351.3,10353.0,46959.0
Ericsson,Sweden,25247.0,1899.3,33063.0,46891.0
Public Storage,United States,2905.0,1353.7,11817.0,46634.0
TC Energy,Canada,9568.0,3441.4,78728.0,46633.0
Las Vegas Sands,United States,3612.0,-1685.0,20807.0,46596.0
Shanxi Xinghuacun Fen Wine Factory,China,1560.0,385.9,2550.0,46592.0
Hoya,Japan,4979.0,1071.3,7880.0,46504.0
Danone,France,26885.0,2212.7,52339.0,46371.0
Ross Stores,United States,12532.0,85.4,13703.0,46327.0
Banco Btg Pactual,Brazil,3091.0,1019.8,44924.0,46115.0
Walgreens,United States,138463.0,-616.0,90920.0,46072.0
Kakao,South Korea,3523.0,131.9,11004.0,45982.0
Hitachi,Japan,78694.0,3187.5,105975.0,45945.0
Thomson Reuters,Canada,5979.0,1109.1,17881.0,45855.0
